figure_id,current_path,filename,referenced_in,exists,category,width_px,height_px,notes
fig_0001,assets/앞표지.png,앞표지.png,book_manuscript/book.md,yes,cover,1024,1536,no_reliable_existing_caption
fig_0002,assets/images/structuring_power_01.png,structuring_power_01.png,book_manuscript/book.md,yes,figure,1276,1040,no_reliable_existing_caption
fig_0003,assets/images/structuring_power_02.png,structuring_power_02.png,book_manuscript/book.md,yes,figure,1254,1062,no_reliable_existing_caption
fig_0004,assets/images/structuring_power_03.png,structuring_power_03.png,book_manuscript/book.md,yes,figure,1280,1464,no_reliable_existing_caption
fig_0005,assets/images/anki_01.png,anki_01.png,book_manuscript/book.md,yes,figure,1280,1208,no_reliable_existing_caption
fig_0006,assets/images/anki_02.png,anki_02.png,book_manuscript/book.md,yes,figure,1256,474,no_reliable_existing_caption
fig_0007,assets/images/haos_01.png,haos_01.png,book_manuscript/book.md,yes,figure,1280,917,no_reliable_existing_caption
fig_0008,assets/images/haos_02.png,haos_02.png,book_manuscript/book.md,yes,figure,294,636,no_reliable_existing_caption;low_resolution_candidate
fig_0009,assets/images/openclaw_01.png,openclaw_01.png,book_manuscript/book.md,yes,figure,500,759,no_reliable_existing_caption;low_resolution_candidate
fig_0010,assets/images/openclaw_02.png,openclaw_02.png,book_manuscript/book.md,yes,figure,1266,424,no_reliable_existing_caption
fig_0011,assets/images/openclaw_03.png,openclaw_03.png,book_manuscript/book.md,yes,figure,1226,430,no_reliable_existing_caption
fig_0012,assets/images/modeling_probabilistic_01.png,modeling_probabilistic_01.png,book_manuscript/book.md,yes,figure,690,311,no_reliable_existing_caption;low_resolution_candidate
fig_0013,assets/images/modeling_probabilistic_02.png,modeling_probabilistic_02.png,book_manuscript/book.md,yes,figure,1280,556,no_reliable_existing_caption
fig_0014,assets/images/voicegrape_01.png,voicegrape_01.png,book_manuscript/book.md,yes,figure,906,328,no_reliable_existing_caption;low_resolution_candidate
fig_0015,assets/images/voicegrape_02.png,voicegrape_02.png,book_manuscript/book.md,yes,figure,878,296,no_reliable_existing_caption;low_resolution_candidate
fig_0016,assets/images/neuroframe_01.png,neuroframe_01.png,book_manuscript/book.md,yes,figure,1280,849,no_reliable_existing_caption
fig_0017,assets/images/neuroframe_02.png,neuroframe_02.png,book_manuscript/book.md,yes,figure,1280,977,no_reliable_existing_caption
fig_0018,assets/images/neuroframe_03.png,neuroframe_03.png,book_manuscript/book.md,yes,figure,1280,647,no_reliable_existing_caption
fig_0019,assets/images/estroframe_01.png,estroframe_01.png,book_manuscript/book.md,yes,figure,914,472,no_reliable_existing_caption;low_resolution_candidate
fig_0020,assets/images/estroframe_02.png,estroframe_02.png,book_manuscript/book.md,yes,figure,716,368,no_reliable_existing_caption;low_resolution_candidate
fig_0021,assets/images/estroframe_03.png,estroframe_03.png,book_manuscript/book.md,yes,figure,904,338,no_reliable_existing_caption;low_resolution_candidate
fig_0022,assets/images/cleantext_01.png,cleantext_01.png,book_manuscript/book.md,yes,figure,1280,684,no_reliable_existing_caption
fig_0023,assets/images/cleantext_02.png,cleantext_02.png,book_manuscript/book.md,yes,figure,1280,640,no_reliable_existing_caption
fig_0024,assets/images/cleantext_03.png,cleantext_03.png,book_manuscript/book.md,yes,figure,1280,640,no_reliable_existing_caption
fig_0025,assets/images/cleantext_04.png,cleantext_04.png,book_manuscript/book.md,yes,figure,1280,1506,no_reliable_existing_caption
fig_0026,assets/images/cleanemr_01.png,cleanemr_01.png,book_manuscript/book.md,yes,figure,1280,592,no_reliable_existing_caption
fig_0027,assets/images/cleanemr_02.png,cleanemr_02.png,book_manuscript/book.md,yes,figure,1280,1077,no_reliable_existing_caption
fig_0028,assets/images/cleanemr_03.png,cleanemr_03.png,book_manuscript/book.md,yes,figure,1280,862,no_reliable_existing_caption
fig_0029,assets/images/cleanemr_04.PNG,cleanemr_04.PNG,book_manuscript/book.md,yes,figure,1280,720,case_mismatch_from:assets/images/cleanemr_04.png;no_reliable_existing_caption
fig_0030,assets/images/diaframe_01.png,diaframe_01.png,book_manuscript/book.md,yes,figure,1280,769,no_reliable_existing_caption
